award_name,season_year,winner,team,points_that_season
Art Ross Trophy,1980,Marcel Dionne,Los Angeles Kings,137
Art Ross Trophy,1981,Wayne Gretzky,Edmonton Oilers,164
Art Ross Trophy,1982,Wayne Gretzky,Edmonton Oilers,212
Art Ross Trophy,1983,Wayne Gretzky,Edmonton Oilers,196
Art Ross Trophy,1984,Wayne Gretzky,Edmonton Oilers,205
Art Ross Trophy,1985,Wayne Gretzky,Edmonton Oilers,208
Art Ross Trophy,1986,Wayne Gretzky,Edmonton Oilers,215
Art Ross Trophy,1987,Wayne Gretzky,Edmonton Oilers,183
Art Ross Trophy,1988,Mario Lemieux,Pittsburgh Penguins,168
Art Ross Trophy,1989,Mario Lemieux,Pittsburgh Penguins,199
Art Ross Trophy,1990,Wayne Gretzky,Los Angeles Kings,142
Art Ross Trophy,1991,Wayne Gretzky,Los Angeles Kings,163
Art Ross Trophy,1992,Mario Lemieux,Pittsburgh Penguins,131
Art Ross Trophy,1993,Mario Lemieux,Pittsburgh Penguins,160
Art Ross Trophy,1994,Wayne Gretzky,Los Angeles Kings,130
Art Ross Trophy,1995,Jaromir Jagr,Pittsburgh Penguins,70
Art Ross Trophy,1996,Mario Lemieux,Pittsburgh Penguins,161
Art Ross Trophy,1997,Mario Lemieux,Pittsburgh Penguins,122
Art Ross Trophy,1998,Jaromir Jagr,Pittsburgh Penguins,102
Art Ross Trophy,1999,Jaromir Jagr,Pittsburgh Penguins,127
Hart Trophy,1980,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1981,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1982,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1983,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1984,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1985,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1986,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1987,Wayne Gretzky,Edmonton Oilers,
Hart Trophy,1988,Mario Lemieux,Pittsburgh Penguins,
Hart Trophy,1989,Wayne Gretzky,Los Angeles Kings,
Hart Trophy,1990,Mark Messier,Edmonton Oilers,
Hart Trophy,1991,Brett Hull,St. Louis Blues,
Hart Trophy,1992,Mark Messier,New York Rangers,
Hart Trophy,1993,Mario Lemieux,Pittsburgh Penguins,
Hart Trophy,1994,Sergei Fedorov,Detroit Red Wings,
Hart Trophy,1995,Eric Lindros,Philadelphia Flyers,
Hart Trophy,1996,Mario Lemieux,Pittsburgh Penguins,
Hart Trophy,1997,Dominik Hasek,Buffalo Sabres,
Hart Trophy,1998,Dominik Hasek,Buffalo Sabres,
Hart Trophy,1999,Jaromir Jagr,Pittsburgh Penguins,
