season_year,champion,gretzky_on_roster
1980,New York Islanders,false
1981,New York Islanders,false
1982,New York Islanders,false
1983,New York Islanders,false
1984,Edmonton Oilers,true
1985,Edmonton Oilers,true
1986,Montreal Canadiens,false
1987,Edmonton Oilers,true
1988,Edmonton Oilers,true
1989,Calgary Flames,false
1990,Edmonton Oilers,false
1991,Pittsburgh Penguins,false
1992,Pittsburgh Penguins,false
1993,Montreal Canadiens,false
1994,New York Rangers,false
1995,New Jersey Devils,false
1996,Colorado Avalanche,false
1997,Detroit Red Wings,false
1998,Detroit Red Wings,false
1999,Dallas Stars,false
